1	7
1	21
1	57
1	59
2	41
2	53
2	55
2	124
3	4
3	5
3	28
3	40
3	257
4	5
4	7
4	13
4	24
4	33
4	40
4	60
4	62
4	76
4	134
4	137
5	7
5	16
5	24
5	26
5	31
5	33
5	39
5	40
5	53
5	57
5	62
5	66
5	72
5	137
5	139
5	257
6	12
6	55
6	57
6	115
7	13
7	14
7	22
7	28
7	41
7	106
7	162
7	257
8	53
8	178
8	298
9	107
9	349
10	240
11	224
11	225
12	51
12	55
12	66
12	115
12	207
12	325
13	49
13	56
13	72
13	114
13	177
14	28
14	40
14	106
15	65
16	28
16	31
16	57
16	90
17	353
18	177
19	55
19	120
19	207
20	165
20	194
20	244
23	75
23	98
23	214
23	358
24	39
24	40
24	48
24	106
24	137
24	257
25	40
25	55
25	104
26	40
26	257
27	48
27	55
27	65
27	69
27	104
27	120
27	172
27	203
28	40
28	51
28	57
28	72
28	89
28	106
28	325
29	31
29	57
30	38
30	39
30	40
30	90
30	146
30	285
30	347
31	48
31	55
31	62
31	137
31	171
32	81
33	257
34	40
34	55
34	71
34	234
34	239
35	242
36	55
37	46
37	62
37	72
38	40
38	55
39	40
40	71
40	72
40	103
40	106
40	137
40	172
40	191
40	257
40	295
41	128
42	62
43	73
43	183
43	227
43	230
43	235
43	245
43	255
43	280
44	73
44	168
44	230
44	245
45	129
45	156
45	321
46	62
47	62
47	185
48	55
48	66
48	104
49	139
50	62
50	236
50	325
51	257
52	58
52	88
52	154
52	211
53	55
54	62
54	141
54	323
55	67
55	83
55	207
55	237
56	101
57	62
57	76
57	114
57	137
57	139
57	325
58	154
58	164
58	175
58	211
59	71
59	289
59	328
60	101
61	77
61	109
61	155
61	212
61	217
61	282
62	63
62	70
62	72
62	74
62	111
62	114
62	141
62	185
62	236
62	323
64	235
65	120
67	237
68	344
69	104
71	104
71	165
71	172
71	192
72	136
72	137
72	237
73	144
73	152
73	166
73	169
73	183
73	204
73	222
73	245
73	277
73	318
75	156
75	214
75	253
75	293
75	333
75	359
76	168
77	155
77	217
77	282
77	284
78	88
79	131
79	159
79	177
79	199
79	336
80	110
80	193
80	241
80	285
81	334
82	124
83	134
83	151
84	240
84	285
85	137
85	150
85	198
86	336
87	243
87	253
87	260
87	281
88	154
88	211
90	231
90	299
91	272
91	356
92	189
93	115
93	130
94	256
94	341
95	121
96	262
97	229
97	244
97	247
97	344
97	350
98	156
98	214
98	253
99	130
99	271
99	272
99	279
99	343
100	177
102	202
102	292
102	333
103	137
103	234
104	165
105	121
105	153
105	244
107	132
107	219
107	243
107	252
107	255
108	125
108	306
109	212
110	128
110	274
112	152
112	201
112	244
112	277
113	176
113	219
113	276
116	167
116	169
117	127
117	264
118	208
119	269
121	144
121	167
121	173
121	244
121	263
121	269
121	277
121	305
121	313
121	318
122	315
123	149
123	200
123	235
125	148
125	306
125	329
125	331
125	354
126	353
126	359
127	264
129	156
129	215
129	243
129	293
129	322
129	341
130	272
130	283
131	177
132	206
133	282
133	353
134	138
134	211
134	309
134	355
135	274
135	359
136	219
137	150
137	165
137	172
137	193
137	234
137	257
137	259
137	347
138	282
138	298
140	244
142	163
143	348
144	195
144	230
144	235
144	263
145	359
147	291
148	270
148	329
148	354
149	194
149	272
149	294
150	234
151	313
152	245
152	277
153	180
153	195
153	238
153	244
153	330
154	211
155	214
155	262
156	217
156	310
157	197
157	267
157	309
158	279
159	268
159	352
160	291
161	232
161	285
161	303
163	193
163	359
166	195
166	315
167	205
167	209
167	222
167	305
168	269
169	230
169	245
170	183
170	235
173	272
174	183
175	214
176	230
176	276
179	357
180	195
181	322
182	354
183	200
183	244
183	245
183	263
184	188
184	315
184	329
184	331
185	325
186	353
187	341
187	346
188	343
189	259
190	231
191	230
191	254
191	255
191	315
192	203
192	318
193	242
195	244
195	263
195	330
195	347
195	350
196	209
197	216
200	259
201	318
202	321
205	264
205	276
205	301
205	315
208	269
209	240
209	243
209	354
210	253
210	271
210	327
210	333
213	339
217	281
218	294
218	345
219	245
219	255
220	354
221	353
222	230
222	238
222	245
222	269
222	318
223	309
223	317
223	319
224	225
225	285
226	283
226	316
226	357
228	243
228	351
229	277
229	291
230	235
230	274
230	276
231	289
231	291
232	285
232	303
232	349
233	315
235	246
235	315
238	244
240	324
240	340
241	303
243	260
243	320
243	348
244	245
244	266
244	269
244	294
244	318
244	350
245	277
245	344
247	278
247	312
248	272
249	321
250	353
250	360
251	287
251	314
253	260
253	293
258	272
258	334
260	281
260	358
261	289
261	332
263	294
265	349
266	277
270	331
271	314
271	333
272	308
272	334
272	339
272	356
273	353
275	305
278	312
278	333
279	329
282	327
285	303
285	326
285	349
286	333
288	303
289	332
290	353
291	297
293	354
296	357
299	322
300	354
301	331
302	332
304	305
305	313
307	335
307	353
308	339
309	317
309	319
310	335
311	335
313	347
315	331
315	337
315	359
317	319
321	329
321	354
324	329
326	349
329	343
329	354
331	354
333	359
338	345
342	349
343	361
348	353
348	357
