79	725	4
79	1592	1
79	2078	1
79	4015	3
79	4175	3
79	5012	4
79	5051	1
99	838	3
232	905	3
232	1656	1
245	3207	3
245	3749	3
245	4378	3
249	1050	7
249	1888	1
249	3402	1
249	3507	16
249	4149	8
400	1332	3
601	2695	1
601	4824	1
601	4919	2
691	3874	3
725	1592	4
725	2078	9
725	2638	4
725	4015	4
725	4175	3
725	4651	8
725	4665	5
725	5012	14
725	5051	3
795	796	3
795	2221	3
795	2490	3
795	3130	3
796	2221	3
796	2490	3
796	3130	3
905	1656	2
939	2788	3
939	2812	3
939	3730	3
957	1469	3
1050	3507	7
1062	2171	2
1062	3640	3
1149	2620	3
1149	4803	3
1313	2887	2
1338	2934	2
1338	4093	2
1372	3231	3
1372	3921	3
1445	1888	3
1592	2078	3
1592	2638	1
1592	4175	1
1592	4651	2
1592	4665	1
1592	5012	4
1676	2402	3
1761	2522	3
1888	3402	1
2078	2638	4
2078	4175	1
2078	4651	7
2078	4665	5
2078	5012	9
2078	5051	1
2171	3640	2
2221	2490	3
2221	3130	3
2275	3003	3
2473	3354	3
2490	3130	3
2538	2695	2
2538	4394	1
2538	4824	1
2538	4919	2
2539	2808	3
2539	4968	3
2620	4803	3
2638	4651	4
2638	4665	2
2638	5012	4
2695	4394	2
2695	4824	4
2695	4919	4
2788	2812	3
2788	3730	3
2805	2825	1
2805	3943	2
2808	4968	3
2812	3730	3
2825	3943	2
2934	4093	2
3207	3749	3
3207	4378	3
3231	3921	3
3402	3507	1
3507	4149	7
3749	4378	3
4015	4175	2
4015	4651	1
4015	5012	4
4015	5051	2
4175	5012	3
4175	5051	1
4394	4824	2
4394	4919	1
4651	4665	4
4651	5012	8
4651	5051	2
4665	5012	5
4665	5051	1
4824	4919	3
5012	5051	3
