52	585	1
52	712	1
52	1060	1
52	1131	1
52	1316	1
52	1562	1
52	1945	1
52	1961	1
52	1963	1
52	1965	1
52	2189	2
52	2403	1
52	2708	1
52	3100	1
52	3411	1
52	3531	1
52	3646	2
52	3906	1
52	3933	1
52	4067	1
52	4070	1
52	4290	1
52	4712	1
52	4723	1
52	4876	1
52	4938	1
62	110	1
62	636	1
62	731	1
62	841	1
62	1131	1
62	1164	1
62	1223	1
62	1358	1
62	1889	1
62	2035	1
62	2484	1
62	2512	1
62	2680	1
62	2708	1
62	3066	1
62	3703	1
62	3705	1
62	3846	1
62	3925	1
62	4188	1
62	4208	1
62	4243	1
62	4629	2
62	4667	1
62	4982	1
72	354	1
72	498	2
72	1131	1
72	1186	1
72	1620	1
72	1701	1
72	1705	4
72	2064	2
72	2215	1
72	2573	5
72	2695	3
72	2696	6
72	2698	3
72	3066	3
72	3116	2
72	3296	3
72	3426	2
72	3573	1
72	3705	1
72	3952	4
72	4235	6
72	4239	2
72	4574	1
72	4848	4
72	4849	2
72	4858	1
72	5107	3
110	194	1
110	228	1
110	578	1
110	585	1
110	642	1
110	653	1
110	841	1
110	1131	1
110	1257	1
110	1310	1
110	1358	1
110	1365	1
110	1543	1
110	1562	1
110	1571	1
110	1681	1
110	1797	1
110	1963	1
110	1965	1
110	2109	1
110	2117	1
110	2297	1
110	2403	1
110	2434	1
110	2478	1
110	2809	1
110	3355	1
110	3470	1
110	3484	3
110	3633	1
110	3941	1
110	4197	3
110	4235	4
110	4243	1
110	4629	1
110	4642	2
110	4712	1
110	4779	1
110	4923	1
128	181	1
128	391	1
128	459	1
128	585	1
128	1026	1
128	1186	1
128	1766	1
128	1971	1
128	2109	1
128	2291	1
128	2783	2
128	3545	2
128	3633	1
128	3768	1
128	3970	1
128	4186	2
128	4293	1
128	4308	2
128	4451	1
128	4573	1
128	4574	2
128	4617	1
128	4667	1
128	4711	1
128	4813	2
149	250	1
149	254	2
149	636	1
149	969	1
149	1194	1
149	1518	1
149	1766	1
149	2400	1
149	2403	1
149	2680	1
149	3066	1
149	3294	1
149	3377	3
149	3700	1
149	3737	1
149	3744	1
149	4188	1
149	4206	1
149	4451	1
149	4667	2
149	4678	1
149	4779	1
149	4901	1
150	254	1
150	385	1
150	1571	1
150	1766	1
150	1915	1
