197	340	1
197	447	1
197	624	4
197	626	3
197	1062	1
197	1208	1
197	1233	1
197	1666	1
197	1707	2
197	1863	1
197	1873	1
197	1917	1
197	2127	1
203	1688	2
340	624	1
340	1247	1
340	1917	1
415	486	2
415	877	1
415	1686	1
415	1902	1
447	1208	1
447	1233	1
447	1666	1
447	1707	1
447	1863	1
447	1873	1
447	1917	1
447	2043	1
486	1673	1
624	1233	2
624	1645	2
624	1666	1
624	1707	3
624	1873	1
624	1902	1
624	1917	1
624	2043	2
626	1037	1
626	1062	1
626	1233	1
626	1535	1
626	1875	1
626	1917	1
626	2043	2
626	2127	1
731	1296	1
731	1434	1
731	1453	1
752	1838	2
789	1953	9
789	2061	9
789	2063	6
877	1686	1
877	1868	1
877	1902	1
877	2006	1
897	1645	1
897	1666	1
982	1081	1
1006	1707	1
1006	1917	1
1006	2043	2
1006	2127	2
1037	2043	1
1062	1857	2
1081	2006	1
1208	1233	1
1208	1535	2
1208	1632	1
1208	1666	1
1208	1863	1
1208	1873	1
1208	1875	1
1208	1917	1
1233	1535	2
1233	1666	1
1233	1707	1
1233	1863	1
1233	1873	1
1233	1917	2
1247	1535	1
1247	1707	1
1247	1917	1
1247	2009	1
1356	1738	5
1356	1953	7
1356	1963	1
1366	2043	1
1434	1686	2
1434	2018	1
1434	2032	1
1453	1873	1
1453	1960	2
1535	1645	1
1535	1917	1
1645	1688	3
1645	1902	2
1645	2043	1
1666	1863	1
1666	1873	1
1666	1917	1
1666	2043	1
1686	1902	1
1686	2018	1
1686	2032	1
1688	1902	1
1688	2018	1
1697	1873	1
1697	1999	1
1697	2009	1
1697	2127	1
1707	1917	1
1707	2009	1
1707	2127	1
1738	1953	5
1738	1963	1
1761	1953	1
1761	1963	1
1761	2018	1
1761	2061	1
1804	2043	5
1833	2018	1
1863	1873	1
1863	1917	2
1863	2009	1
1863	2043	3
1868	1963	1
1868	2006	1
1873	1917	1
1873	1999	1
1875	2009	1
1875	2043	1
1917	2127	1
1922	1963	1
1922	2018	1
1953	1963	1
1953	2061	10
1953	2063	6
2006	2018	1
2009	2043	3
2009	2127	1
2018	2032	1
2018	2061	1
2043	2127	1
2061	2063	6
