id	document	citations	links		
412	burns (2016)	25	2		
594	lambert (2000)	25	0		
660	pintelon (2021)	25	1		
720	cook (2025)	25	0		
733	ahmad (2021)	25	0		
735	tervonen (2023)	25	4		
816	regidor (2018)	25	0		
934	rohde (2015)	25	0		
1000	randazzo (2020)	25	0		
63	kearney (2023)	24	3		
108	manchadi (2023)	24	9		
178	mccaffery (2010)	24	2		
285	silva (2015)	24	2		
320	hagedorn (2015)	24	6		
460	liu (2005)	24	2		
505	pennell (2016)	24	1		
542	schmettow (2017)	24	3		
613	shukla (2020)	24	2		
958	hatz (2017)	24	1		
960	madden (2012)	24	2		
1016	morita (2016)	24	3		
237	piaggio (2021)	23	2		
369	tan (2020)	23	6		
586	möllemann (2005)	23	0		
755	fraser (2021)	23	4		
770	bayon (2016)	23	1		
814	campbell (2016)	23	4		
825	celik (2023)	23	10		
5	zamzam (2021)	22	18		
91	yue (2016)	22	2		
191	alzahrani (2022)	22	2		
216	mery (2013)	22	2		
350	melvin (2022)	22	6		
517	wilson (2014)	22	0		
540	hubner (2021)	22	2		
603	ismail (2021)	22	0		
634	tolga (2020)	22	3		
1091	rosa (2023)	22	1		
97	moura (2017)	21	3		
184	tsai (2019)	21	1		
443	escalada-hernandez (2019)	21	1		
529	tau (2020)	21	3		
536	darghouth (2012)	21	0		
648	hagedorn (2016)	21	5		
685	zhang (2017)	21	0		
723	koomen (2021)	21	0		
730	beekman (2009)	21	0		
821	windecker (2025)	21	2		
993	li (2017)	21	0		
2	li (2022)	20	4		
36	sezdi (2016)	20	11		
101	van der peijl (2012)	20	1		
118	wang (2020b)	20	12		
348	hummel (2000)	20	0		
409	jing (2021)	20	8		
414	beck (2017)	20	1		
420	tadic (2014)	20	2		
559	saad (2003)	20	0		
608	chan (2019)	20	1		
707	onitiu (2024)	20	5		
756	liu (2018a)	20	0		
827	siontis (2024)	20	2		
843	paap (2016)	20	0		
845	patel (2005)	20	1		
876	kulstad (2013)	20	0		
929	huot (2012)	20	6		
935	smith (2021)	20	3		
947	vidi (2011)	20	3		
961	shie (2021)	20	0		
985	schvartzman (2018)	20	0		
999	giovanazzi (2022)	20	0		
1028	demir (2024b)	20	1		
1078	rana (2022b)	20	1		
74	miniati (2011)	19	3		
195	miguel cruz (2014)	19	6		
347	sonmez (2022)	19	11		
383	alexander (2002)	19	2		
384	elsensohn (2011)	19	0		
393	castro (2013)	19	5		
836	ademe (2016)	19	0		
976	tucan (2022)	19	0		
1060	grundy (2018)	19	1		
1086	wang (2024)	19	0		
4	zamzam (2023)	18	12		
16	kamal (2021)	18	4		
28	ben houria (2016)	18	8		
228	arundel (2021)	18	5		
239	de jong (2020)	18	5		
382	castner (2016)	18	4		
589	zhou (2021)	18	1		
747	demir (2024a)	18	1		
857	huertas celdran (2018)	18	3		
891	peiris (2018)	18	0		
1052	swan (2019)	18	0		
311	aycock (2021)	17	1		
453	gao (2022)	17	1		
527	stine (2017)	17	1		
656	rousselle (2008)	17	0		
726	berrios (2016)	17	0		
823	schrappe (2005)	17	2		
1111	kihlberg (2022)	17	0		
33	regan (2013)	16	2		
171	jiang (2021a)	16	2		
340	mc caffery (2010)	16	4		
381	scholte (2024)	16	0		
485	saleh (2023b)	16	4		
561	surma-aho (2021)	16	3		
574	daubner-bendes (2021)	16	5		
698	henschke (2015)	16	3		
902	gelijns (2013)	16	2		
937	huusko (2023)	16	7		
980	vincent (2015)	16	3		
1073	alves (2017)	16	0		
1109	rathore (2020)	16	1		
198	lesen (2017)	15	6		
199	martelli (2015)	15	2		
280	leidy (2006)	15	2		
288	alexander (2000a)	15	2		
333	newton (2010)	15	4		
432	freitas (2023)	15	1		
458	chan (2012)	15	0		
459	limon-romero (2016)	15	0		
627	drozda (2018)	15	1		
633	saylor (2019)	15	3		
696	pelayo (2021)	15	3		
721	normand (2005)	15	0		
745	aycock (2024)	15	0		
833	kesselheim (2014)	15	1		
1005	hatamikia (2021)	15	0		
1010	ponnaluri (2023)	15	1		
1011	eiselstein (2009)	15	0		
1074	yao (2021b)	15	1		
1104	tokaya (2018)	15	0		
1	arab-zozani (2021)	14	4		
44	oshiyama (2012)	14	3		
50	wang (2020a)	14	5		
51	liao (2021)	14	3		
84	schmuland (2005)	14	5		
117	o'brien (2022)	14	3		
175	mcgrane (2022)	14	1		
197	kamal (2022)	14	5		
296	zinchenko (2022)	14	3		
496	bianchini (2019)	14	5		
778	o'neill (2019)	14	2		
790	blankart (2021)	14	1		
863	bansal (2020)	14	0		
954	yamaguchi (2019)	14	1		
967	zhang (2020)	14	0		
1026	bisdas (2019)	14	1		
1094	feng (2021)	14	0		
15	yao (2021a)	13	1		
24	flewwelling (2014)	13	3		
47	aborujilah (2021)	13	1		
131	hunte (2024)	13	3		
204	pesapane (2025)	13	2		
441	lilly (2008)	13	2		
455	aguwa (2010)	13	3		
480	alexander (2000b)	13	2		
500	wu (2014)	13	1		
609	ngamboe (2021)	13	3		
621	hikage (2016)	13	0		
630	demirdogen (2021)	13	0		
680	maresova (2021)	13	4		
828	guerlich (2023)	13	1		
834	kundu (2022)	13	2		
914	fu (2023)	13	10		
983	perini (2013)	13	0		
1055	hulstaert (2023)	13	10		
1098	rodriguez (2018)	13	0		
83	abd rahman (2023b)	12	12		
150	ozcan-top (2018)	12	1		
161	monarca (2018)	12	3		
257	liu (2019)	12	3		
306	levine (2021)	12	1		
361	hossain (2025)	12	3		
390	guo (2016)	12	1		
402	chen (2018b)	12	1		
445	olsen (2018)	12	3		
461	baines (2023)	12	2		
581	dalli (2024)	12	7		
625	reschovsky (2012)	12	0		
666	campbell (2017)	12	1		
670	chandrasekar (2018b)	12	2		
706	al kalaa (2017)	12	1		
729	campbell (2018)	12	2		
746	mashkoor (2016)	12	1		
787	wang (2019)	12	3		
892	wagner (2023)	12	0		
910	peck (2021)	12	0		
920	zheng (2020)	12	1		
951	eichenbaum (2021)	12	0		
1004	ketikidis (2010)	12	0		
1033	rindelaub (2019)	12	0		
1036	pellevoisin (2021)	12	3		
1092	corcoles (2017)	12	0		
67	flood (2015)	11	3		
152	efthymiou (2022)	11	2		
273	saleh (2023a)	11	2		
330	browne (2023)	11	1		
331	kisser (2016)	11	4		
470	keefe (2010)	11	0		
478	nuessler (2023)	11	4		
533	chaffin (2020)	11	0		
534	mi (2023)	11	1		
570	goel (2024)	11	0		
595	lukasewicz (2015)	11	0		
612	gao (2024b)	11	2		
675	mishra (2023)	11	0		
678	saidi (2019)	11	6		
734	agarwal (2018)	11	1		
777	robinson (2014)	11	0		
780	jiwa (2012)	11	0		
850	fouretier (2014)	11	2		
859	kwon (2021)	11	0		
870	pwee (2009)	11	0		
941	ciriza de los rios (2021)	11	0		
969	park (2014)	11	0		
1037	de marco (2006)	11	0		
1047	gall (2019)	11	1		
1054	siddiqi (2021)	11	0		
1082	cole (2018)	11	1		
1099	singh (2023)	11	2		
1124	moon (2020)	11	0		
32	kim (2020a)	10	3		
38	bektemur (2018)	10	2		
40	abd rahman (2023a)	10	8		
48	khalaf (2015)	10	1		
125	lepmets (2016)	10	2		
183	zippel (2017a)	10	5		
